index,id,title,price,cantidad_vendida,address,listing_type
0,MLA870831824, Google Chromecast 3rd Generation  Full Hd  Carbón,6696.0,8165,Capital Federal,gold_special
1,MLA910313991, Chromecast With Google Tv  De Voz 4k 8gb  Snow Con 2gb De Memoria Ram,13499.0,456,Capital Federal,gold_special
2,MLA782706781,Google Chromecast 3 Generacion Nuevo En Caja Hdmi C/ Fuente,6689.0,5000,Capital Federal,gold_special
3,MLA919341056,Chromecast 4ta Generacion Con Google Tv + Control Remoto,13990.0,50,Buenos Aires,gold_special
4,MLA883704576,Google Chromecast 3 Streaming Player Original Caja C/ Fuente,6680.0,500,Capital Federal,gold_special
5,MLA859353000,Google Chromecast 3 Media Streaming Player Original En Caja ,8440.0,500,Capital Federal,gold_pro
6,MLA618673320,Chromecast 3era Generación 2019 Hdmi Netflix Smart Tv ,6499.0,500,Capital Federal,gold_special
7,MLA908899898,Google Chromecast Ultra Hdmi Resolucion 4k Garantia Sin Caja,7279.09,200,Capital Federal,gold_special
8,MLA902659054,Google Chromecast 3 Generacion En Caja Hdmi C/ Fuente,6799.0,500,Capital Federal,gold_special
9,MLA910313990, Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram,13499.0,150,Capital Federal,gold_special
10,MLA625783367,Google Chromecast 3 Original 100% Smart Tv Hdmi Garantia 1 Año Y Factura ,6689.0,5000,Capital Federal,gold_special
11,MLA914388347,Chromecast Google Tv 4k Control De Voz Hdmi Wifi Dual,13699.0,200,Capital Federal,gold_special
12,MLA885133507,Chromecast Smart Tv Netflix Google Tv 4k Hdr Control Remoto,13999.0,250,Capital Federal,gold_special
13,MLA759911380,Google Chromecast 3 Nuevo Smart Tv Hdmi Netflix Caja Fuente,6699.0,500,Capital Federal,gold_special
14,MLA782706893,Google Chromecast 3 Generacion Nuevo En Caja Hdmi Sin Fuente,6520.0,500,Capital Federal,gold_special
15,MLA910314339,Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram,16949.0,50,Capital Federal,gold_pro
16,MLA762401890,Google Chromecast 3 Generacion Original En Caja Hdmi Usb,6540.0,500,Capital Federal,gold_special
17,MLA914388160,Google Chromecast 4k Android Tv Control De Voz 2gb Ram,13899.0,50,Capital Federal,gold_special
18,MLA773339747,Google Chromecast 3 Nuevo Smart Tv Hdmi Netflix Caja Usb,6550.0,500,Capital Federal,gold_special
19,MLA886510335,Google Chromecast Con Google Tv 4k Hdmi Streaming Android Tv,14600.0,250,Capital Federal,gold_special
20,MLA839601238,Google Chromecast 3 Media Streaming Player Original En Caja ,6670.0,500,Capital Federal,gold_special
21,MLA919397138,Chromecast 4ta Gen 4k 2gb Ram Google Tv Control Remoto Cuot,18590.0,50,Buenos Aires,gold_pro
22,MLA904247784,Google Chromecast 3rd Generation Full Hd 1080p Streaming Tv,6650.0,200,Capital Federal,gold_special
23,MLA886507539,Google Chromecast Con Google Tv 4k + Control Remoto,14600.0,150,Capital Federal,gold_special
24,MLA787935586,Google Chromecast 3 Generacion Smart Tv Hdmi Usb Nuevo Orig,6999.0,250,Capital Federal,gold_special
25,MLA906699348,Chromecast 4 Smart Tv Netflix Googletv 4k Hdr Control Remoto,12739.09,25,Capital Federal,gold_special
26,MLA759895787,Google Chromecast 3 Generacion Smart Tv Original + Fuente,6695.0,500,Capital Federal,gold_special
27,MLA906961402, Chromecast 4ta Generacion Google Tv 4k Control De Voz 8gb,14299.0,50,Capital Federal,gold_special
28,MLA825357651,Google Chromecast 3 Generacion Nuevo En Caja Hdmi + Usb,8449.0,500,Capital Federal,gold_pro
29,MLA908899013,Convertidor Smartv Google Chromecast Ultra 4k Sin Caja,7279.09,50,Capital Federal,gold_special
30,MLA818590531,Chromecast 3 3ra Gen Smart Tv Hdmi Full Hd Oferta Cuotas !!,9056.19,500,Capital Federal,gold_pro
31,MLA914385329,Chromecast With Google Tv Control Voz 4k 2gb Ram Hdmi Wifi,13689.0,25,Capital Federal,gold_special
32,MLA759895299,Google Chromecast 3 Generacion Smart Tv Usb Caja Original,6545.0,500,Capital Federal,gold_special
33,MLA770888815,Google Chromecast 3 Generacion Smart Tv Netflix Original,6670.0,500,Capital Federal,gold_special
34,MLA826233640,Google Chromecast 3 Generacion Tv Hdmi En Caja 100% Original,8445.0,250,Capital Federal,gold_pro
35,MLA770830113,Google Chromecast 3 Generacion Tv Hdmi En Caja 100% Original,6699.0,500,Capital Federal,gold_special
36,MLA827855026,Google Chromecast 3 Tv 3ra Generacion Smart Tv Netflix ,6549.0,200,Capital Federal,gold_special
37,MLA908898446,Google Chromecast Ultra 4k Memoria Ram 1gb Netflix Sin Caja,9099.09,25,Capital Federal,gold_pro
38,MLA914384593, Chromecast Google Tv 4k 8gb Blanco Control Remoto Voz,13699.0,25,Capital Federal,gold_special
39,MLA886511810,Google Chromecast Google Tv Resolucion 4k Streaming Garantia,15499.0,25,Capital Federal,gold_special
40,MLA886512663,Google Chromecast Google Tv 4k Streaming Bluetooth Wifi,17999.0,50,Capital Federal,gold_pro
41,MLA886509519,Google Chromecast Con Google Tv Resolucion 4k Streaming,17999.0,150,Capital Federal,gold_pro
42,MLA825358802,Google Chromecast 3 Generacion Smart Tv Netflix Original,8450.0,500,Capital Federal,gold_pro
43,MLA922345736, Chromecast With Google Tv  De Voz 4k / Makkax,17999.0,5,Capital Federal,gold_special
44,MLA746583594,Google Chromecast 3 Generacion 1080p Caja 100% Original,6690.0,500,Capital Federal,gold_special
45,MLA908902008,Convertidor Smart Tv Google Chromecast Ultra 4k Sin Caja,10919.09,25,Capital Federal,gold_pro
46,MLA885640080,Google Chromecast 3 Gen Smart Tv Hdmi Caja C/ Fuente,8440.0,100,Capital Federal,gold_pro
47,MLA921138656,Chromecast Con Google Tv 4k,17999.0,5,Capital Federal,gold_special
48,MLA922925677,Google Chromecast Cromecast Nc2-6a5 Netflix Youtube Spotify,7998.9,5,Buenos Aires,gold_special
49,MLA922347946, Chromecast With Google Tv  De Voz 4k / Sin Interes,21499.0,3,Capital Federal,gold_pro
